%  GPST        ,GPS_Date, latitude(deg),longitude(deg), height(m),  Q, ns,  sdn(m),  sde(m),  sdu(m), sdne(m), sdeu(m), sdun(m),age(s), ratio
2148,324587.8,45.83505277,-110.9326804,2317.9215,1,5,0.0153,0.0127,0.0436,0.0054,0.0139,0.0099,-12.2,999.9
2148,324588,45.83505266,-110.9326804,2317.9136,1,5,0.0151,0.0125,0.043,0.0053,0.0137,0.0098,-12,999.9
2148,324588.2,45.83505253,-110.9326803,2317.9074,1,5,0.0149,0.0123,0.0424,0.0053,0.0135,0.0096,-11.8,999.9
2148,324588.4,45.83505239,-110.9326802,2317.9176,1,5,0.0147,0.0121,0.0418,0.0052,0.0133,0.0095,-11.6,999.9
2148,324588.6,45.83505225,-110.9326801,2317.919,1,5,0.0145,0.012,0.0411,0.0051,0.0131,0.0093,-11.4,999.9
2148,324588.8,45.83505212,-110.93268,2317.919,1,5,0.0143,0.0118,0.0405,0.0051,0.0129,0.0091,-11.2,999.9
2148,324589,45.83505198,-110.9326799,2317.9181,1,5,0.0141,0.0116,0.0398,0.005,0.0127,0.0089,-11,999.9
2148,324589.2,45.83505183,-110.9326798,2317.9066,1,5,0.0137,0.0114,0.0376,0.0047,0.012,0.0073,-10.8,999.9
2148,324589.4,45.83505164,-110.9326797,2317.8722,1,6,0.0124,0.0112,0.0309,0.0038,0.0106,-0.0076,-10.6,999.9
2148,324589.6,45.83505153,-110.9326797,2317.8724,1,6,0.0122,0.011,0.0304,0.0037,0.0105,-0.0074,-10.4,999.9
2148,324589.8,45.83505149,-110.9326796,2317.864,1,6,0.0121,0.0108,0.03,0.0037,0.0103,-0.0073,-10.2,999.9
2148,324590,45.83505143,-110.9326796,2317.8555,1,6,0.0119,0.0107,0.0296,0.0036,0.0102,-0.0071,-10,999.9
2148,324590.2,45.83505138,-110.9326795,2317.8484,1,6,0.0117,0.0105,0.0292,0.0036,0.01,-0.007,-9.8,999.9
2148,324590.4,45.83505132,-110.9326795,2317.8507,1,6,0.0115,0.0104,0.0288,0.0036,0.0099,-0.0068,-9.6,999.9
2148,324590.6,45.83505128,-110.9326795,2317.8504,1,6,0.0114,0.0102,0.0284,0.0035,0.0097,-0.0067,-9.4,999.9
2148,324590.8,45.83505126,-110.9326795,2317.8494,1,6,0.0112,0.01,0.028,0.0035,0.0096,-0.0066,-9.2,999.9
2148,324591,45.83505122,-110.9326795,2317.8451,1,6,0.011,0.0099,0.0276,0.0034,0.0094,-0.0064,-9,999.9
2148,324591.2,45.83505114,-110.9326795,2317.839,1,6,0.0108,0.0097,0.0268,0.0033,0.0092,-0.0065,-8.8,999.9
2148,324591.4,45.83505107,-110.9326794,2317.8322,1,6,0.0103,0.0095,0.0242,0.003,0.0086,-0.0084,-8.6,999.9
2148,324591.6,45.83505102,-110.9326793,2317.829,1,6,0.0101,0.0094,0.0238,0.003,0.0084,-0.0082,-8.4,999.9
2148,324591.8,45.83505103,-110.9326792,2317.8265,1,6,0.01,0.0092,0.0235,0.0029,0.0083,-0.008,-8.2,999.9
2148,324592,45.83505103,-110.9326792,2317.8304,1,6,0.0098,0.0091,0.0231,0.0029,0.0082,-0.0079,-8,999.9
2148,324592.2,45.83505101,-110.9326793,2317.8358,1,6,0.0097,0.0089,0.0228,0.0029,0.008,-0.0077,-7.8,999.9
2148,324592.4,45.83505098,-110.9326794,2317.8417,1,6,0.0095,0.0087,0.0224,0.0028,0.0079,-0.0075,-7.6,999.9
2148,324592.6,45.83505097,-110.9326795,2317.8404,1,6,0.0094,0.0086,0.0221,0.0028,0.0078,-0.0074,-7.4,999.9
2148,324592.8,45.83505098,-110.9326796,2317.8381,1,6,0.0092,0.0084,0.0218,0.0028,0.0076,-0.0072,-7.2,999.9
2148,324593,45.83505102,-110.9326797,2317.8308,1,6,0.0091,0.0083,0.0214,0.0028,0.0075,-0.0071,-7,999.9
2148,324593.2,45.835051,-110.9326799,2317.8239,1,6,0.0089,0.0081,0.0211,0.0027,0.0074,-0.0069,-6.8,999.9
2148,324593.4,45.83505098,-110.93268,2317.8188,1,6,0.0088,0.008,0.0208,0.0027,0.0073,-0.0067,-6.6,999.9
2148,324593.6,45.83505098,-110.93268,2317.8126,1,6,0.0086,0.0079,0.0205,0.0027,0.0071,-0.0066,-6.4,999.9
2148,324593.8,45.83505097,-110.9326801,2317.8113,1,6,0.0085,0.0077,0.0201,0.0026,0.007,-0.0064,-6.2,999.9
2148,324594,45.83505098,-110.9326802,2317.8206,1,6,0.0083,0.0076,0.0198,0.0026,0.0069,-0.0063,-6,999.9
2148,324594.2,45.83505101,-110.9326802,2317.8327,1,6,0.0082,0.0074,0.0195,0.0026,0.0067,-0.0061,-5.8,999.9
2148,324594.4,45.83505127,-110.9326806,2317.8074,1,6,0.008,0.0073,0.0192,0.0026,0.0066,-0.006,-5.6,999.9
2148,324594.6,45.835052,-110.9326814,2317.7123,1,6,0.0079,0.0071,0.0189,0.0025,0.0065,-0.0058,-5.4,999.9
2148,324594.8,45.83505334,-110.9326829,2317.531,1,6,0.0078,0.007,0.0186,0.0025,0.0064,-0.0057,-5.2,999.9
2148,324595,45.83505532,-110.932685,2317.2661,1,6,0.0076,0.0069,0.0183,0.0025,0.0063,-0.0055,-5,999.9
2148,324595.2,45.83505795,-110.9326879,2316.9134,1,6,0.0075,0.0068,0.018,0.0025,0.0061,-0.0054,-4.8,999.9
2148,324595.4,45.83506128,-110.9326914,2316.4815,1,6,0.0074,0.0066,0.0177,0.0024,0.006,-0.0053,-4.6,999.9
2148,324595.6,45.83506518,-110.9326954,2316.0067,1,6,0.0072,0.0065,0.0174,0.0024,0.0059,-0.0051,-4.4,999.9
2148,324595.8,45.83506946,-110.9326998,2315.5155,1,6,0.0071,0.0064,0.0171,0.0024,0.0058,-0.005,-4.2,999.9
2148,324596,45.83507387,-110.9327044,2315.0113,1,6,0.007,0.0063,0.0168,0.0024,0.0057,-0.0049,-4,999.9
2148,324596.2,45.8350782,-110.9327089,2314.5038,1,6,0.0069,0.0061,0.0166,0.0024,0.0056,-0.0048,-3.8,999.9
2148,324596.4,45.83508243,-110.9327133,2314.0076,1,6,0.0068,0.006,0.0163,0.0023,0.0055,-0.0047,-3.6,999.9
2148,324596.6,45.83508656,-110.9327174,2313.5104,1,6,0.0066,0.0059,0.016,0.0023,0.0054,-0.0046,-3.4,999.9
2148,324596.8,45.83509052,-110.9327214,2313.0063,1,6,0.0065,0.0058,0.0158,0.0023,0.0053,-0.0045,-3.2,999.9
2148,324597,45.8350944,-110.9327253,2312.5104,1,6,0.0064,0.0057,0.0155,0.0023,0.0052,-0.0044,-3,999.9
2148,324597.2,45.83509824,-110.9327291,2312.0171,1,6,0.0063,0.0056,0.0153,0.0022,0.0051,-0.0043,-2.8,999.9
2148,324597.4,45.83510199,-110.9327328,2311.5182,1,6,0.0062,0.0055,0.0151,0.0022,0.005,-0.0042,-2.6,999.9
2148,324597.6,45.83510571,-110.9327365,2311.0249,1,6,0.0062,0.0055,0.0149,0.0022,0.0049,-0.0041,-2.4,999.9
2148,324597.8,45.83510944,-110.93274,2310.5227,1,6,0.0061,0.0054,0.0147,0.0022,0.0049,-0.0041,-2.2,999.9
2148,324598,45.8351131,-110.9327436,2310.0238,1,6,0.006,0.0053,0.0145,0.0022,0.0048,-0.004,-2,999.9
2148,324598.2,45.83511675,-110.9327471,2309.5225,1,6,0.0059,0.0052,0.0143,0.0022,0.0047,-0.004,-1.8,999.9
2148,324598.4,45.83512041,-110.9327506,2309.02,1,6,0.0059,0.0052,0.0142,0.0022,0.0047,-0.0039,-1.6,999.9
2148,324598.6,45.83512407,-110.932754,2308.5277,1,6,0.0058,0.0051,0.014,0.0021,0.0046,-0.0039,-1.4,999.9
2148,324598.8,45.83512767,-110.9327574,2308.0274,1,6,0.0058,0.0051,0.0139,0.0021,0.0046,-0.0038,-1.2,999.9
2148,324599,45.83513132,-110.9327608,2307.5256,1,6,0.0057,0.005,0.0138,0.0021,0.0045,-0.0038,-1,999.9
2148,324599.2,45.83513484,-110.9327642,2307.0325,1,6,0.0057,0.005,0.0137,0.0021,0.0045,-0.0038,-0.8,999.9
