%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
-522,-259200,-90,0,-6378137,5,0,0,0,0,0,0,0,0,0
2208,402298.2,45.83600907,-110.9327883,2298.8664,1,8,0.0059,0.0057,0.0122,0.001,0.006,0.0005,-1.8,340
2208,402298.4,45.8360093,-110.9327884,2298.8678,1,8,0.0058,0.0056,0.012,0.001,0.006,-0.0003,-1.6,340.5
2208,402298.6,45.83600963,-110.9327886,2298.8865,1,8,0.0058,0.0056,0.0119,0.0011,0.0059,-0.0006,-1.4,340.7
2208,402298.8,45.83600995,-110.9327887,2298.897,1,8,0.0057,0.0055,0.0118,0.0011,0.0058,-0.0008,-1.2,341.3
2208,402299,45.83601026,-110.9327889,2298.9054,1,8,0.0057,0.0055,0.0117,0.0011,0.0058,-0.0009,-1,341.9
2208,402299.2,45.8360106,-110.9327891,2298.9073,1,8,0.0057,0.0054,0.0116,0.0011,0.0057,-0.001,-0.8,342.5
2208,402299.4,45.83601087,-110.9327892,2298.9138,1,8,0.0056,0.0054,0.0116,0.0011,0.0057,-0.001,-0.6,343.2
2208,402299.6,45.83601115,-110.9327893,2298.9284,1,8,0.0056,0.0054,0.0115,0.0011,0.0057,-0.0011,-0.4,343.7
2208,402299.8,45.83601143,-110.9327894,2298.9447,1,8,0.0056,0.0054,0.0115,0.0011,0.0057,-0.0011,-0.2,344.3
2208,402300,45.83601161,-110.9327895,2298.9398,1,8,0.0056,0.0054,0.0117,0.0011,0.0058,-0.001,0,344.7
2208,402300.2,45.83601184,-110.9327896,2298.9353,1,8,0.0073,0.0073,0.0157,0.0007,0.0081,0.0032,-4.8,345.3
2208,402300.4,45.83601192,-110.9327897,2298.9461,1,8,0.0072,0.0072,0.0154,0.0007,0.0079,0.003,-4.6,345.1
2208,402300.6,45.83601203,-110.9327898,2298.9541,1,8,0.0071,0.0071,0.0151,0.0007,0.0077,0.0028,-4.4,345
2208,402300.8,45.83601211,-110.9327898,2298.9622,1,8,0.007,0.0069,0.0148,0.0008,0.0076,0.0027,-4.2,344.9
2208,402301,45.8360121,-110.9327898,2298.9656,1,8,0.0069,0.0068,0.0146,0.0008,0.0074,0.0025,-4,344.9
2208,402301.2,45.83601201,-110.9327899,2298.9707,1,8,0.0068,0.0066,0.0142,0.001,0.0071,0.0025,-3.8,344.8
2208,402301.4,45.83601192,-110.9327901,2298.9663,1,9,0.0064,0.0058,0.0125,0.0024,0.0056,0.0039,-3.6,71.5
2208,402301.6,45.8360119,-110.9327901,2298.9711,1,9,0.0063,0.0057,0.0123,0.0024,0.0055,0.0038,-3.4,71
2208,402301.8,45.83601185,-110.9327901,2298.9695,1,9,0.0062,0.0056,0.0121,0.0023,0.0054,0.0037,-3.2,70.4
2208,402302,45.83601181,-110.9327901,2298.9711,1,9,0.0062,0.0056,0.0119,0.0023,0.0053,0.0035,-3,69.8
2208,402302.2,45.8360118,-110.9327901,2298.9749,1,9,0.0061,0.0055,0.0117,0.0023,0.0052,0.0034,-2.8,69.3
2208,402302.4,45.83601177,-110.9327901,2298.9722,1,9,0.006,0.0054,0.0115,0.0023,0.0051,0.0033,-2.6,68.7
2208,402302.6,45.83601172,-110.9327901,2298.9746,1,9,0.0059,0.0053,0.0114,0.0022,0.005,0.0032,-2.4,68.2
2208,402302.8,45.83601172,-110.9327901,2298.9751,1,9,0.0058,0.0053,0.0112,0.0022,0.005,0.0031,-2.2,67.7
2208,402303,45.83601168,-110.9327901,2298.9803,1,9,0.0058,0.0052,0.0111,0.0022,0.0049,0.003,-2,67.1
2208,402303.2,45.83601162,-110.93279,2298.9796,1,9,0.0057,0.0052,0.0109,0.0022,0.0048,0.0029,-1.8,66.6
2208,402303.4,45.83601142,-110.93279,2298.9764,1,9,0.0056,0.0051,0.0108,0.0021,0.0048,0.0028,-1.6,66.1
2208,402303.6,45.83601125,-110.9327899,2298.9779,1,9,0.0056,0.0051,0.0107,0.0021,0.0047,0.0027,-1.4,65.5
2208,402303.8,45.8360111,-110.9327898,2298.9786,1,9,0.0056,0.005,0.0106,0.0021,0.0047,0.0026,-1.2,65
2208,402304,45.83601103,-110.9327896,2298.9802,1,9,0.0055,0.005,0.0105,0.0021,0.0046,0.0026,-1,64.5
2208,402304.2,45.836011,-110.9327895,2298.981,1,9,0.0055,0.005,0.0104,0.0021,0.0046,0.0025,-0.8,64
2208,402304.4,45.83601099,-110.9327894,2298.9835,1,9,0.0055,0.0049,0.0104,0.0021,0.0046,0.0025,-0.6,63.5
2208,402304.6,45.83601107,-110.9327892,2298.9915,1,9,0.0054,0.0049,0.0104,0.0021,0.0046,0.0025,-0.4,62.9
2208,402304.8,45.83601112,-110.932789,2298.9902,1,9,0.0054,0.0049,0.0104,0.0021,0.0046,0.0025,-0.2,62.5
2208,402305,45.83601104,-110.9327886,2298.9826,1,9,0.0055,0.0049,0.0105,0.0021,0.0046,0.0025,0,61.9
2208,402305.2,45.8360108,-110.932788,2298.9636,1,9,0.0071,0.0064,0.0139,0.0027,0.0062,0.0048,-4.8,61.4
2208,402305.4,45.83601033,-110.9327871,2298.9543,1,9,0.007,0.0063,0.0137,0.0026,0.0061,0.0047,-4.6,60.8
2208,402305.6,45.83600931,-110.9327859,2298.9559,1,9,0.0069,0.0062,0.0134,0.0026,0.006,0.0045,-4.4,60.2
2208,402305.8,45.83600735,-110.9327842,2298.9554,1,9,0.0068,0.0061,0.0132,0.0025,0.0059,0.0044,-4.2,59.6
2208,402306,45.83600445,-110.9327817,2298.9649,1,9,0.0067,0.006,0.0129,0.0025,0.0058,0.0042,-4,59
2208,402306.2,45.83600057,-110.9327786,2298.9746,1,9,0.0065,0.0059,0.0127,0.0024,0.0057,0.0041,-3.8,58.4
2208,402306.4,45.83599557,-110.9327751,2298.9741,1,9,0.0064,0.0058,0.0125,0.0024,0.0056,0.0039,-3.6,57.8
2208,402306.6,45.83598953,-110.9327709,2298.9776,1,9,0.0063,0.0057,0.0123,0.0024,0.0055,0.0038,-3.4,57.2
2208,402306.8,45.83598259,-110.9327662,2298.9911,1,9,0.0062,0.0056,0.0121,0.0023,0.0054,0.0037,-3.2,56.6
2208,402307,45.83597507,-110.932761,2299.0033,1,9,0.0062,0.0055,0.0119,0.0023,0.0053,0.0035,-3,56
2208,402307.2,45.83596743,-110.9327558,2299.0055,1,9,0.0061,0.0055,0.0116,0.0023,0.0051,0.0035,-2.8,55.4
2208,402307.4,45.83595996,-110.9327508,2299.0056,1,9,0.0059,0.005,0.0108,0.0027,0.0043,0.004,-2.6,54.9
2208,402307.6,45.83595274,-110.9327459,2298.9959,1,9,0.0058,0.005,0.0106,0.0027,0.0042,0.0039,-2.4,54.4
2208,402307.8,45.83594583,-110.932741,2298.9856,1,9,0.0057,0.0049,0.0105,0.0027,0.0042,0.0038,-2.2,53.8
2208,402308,45.83593906,-110.9327364,2298.9788,1,9,0.0057,0.0049,0.0103,0.0026,0.0041,0.0037,-2,53.3
2208,402308.2,45.83593237,-110.9327318,2298.9707,1,9,0.0056,0.0048,0.0102,0.0026,0.0041,0.0036,-1.8,52.7
2208,402308.4,45.83592588,-110.9327275,2298.9669,1,9,0.0055,0.0048,0.0101,0.0026,0.004,0.0035,-1.6,52.2
2208,402308.6,45.83591948,-110.9327234,2298.965,1,9,0.0055,0.0048,0.01,0.0025,0.004,0.0034,-1.4,51.6
2208,402308.8,45.83591299,-110.9327194,2298.9623,1,9,0.0054,0.0047,0.0099,0.0025,0.004,0.0033,-1.2,51.1
2208,402309,45.83590652,-110.9327154,2298.9652,1,9,0.0054,0.0047,0.0099,0.0025,0.004,0.0032,-1,50.5
2208,402309.2,45.83590006,-110.9327113,2298.9632,1,9,0.0054,0.0047,0.0098,0.0025,0.004,0.0032,-0.8,50
2208,402309.4,45.83589365,-110.9327072,2298.9591,1,9,0.0054,0.0047,0.0098,0.0024,0.004,0.0031,-0.6,49.4
2208,402309.6,45.83588722,-110.9327031,2298.957,1,9,0.0054,0.0047,0.0098,0.0024,0.004,0.003,-0.4,48.9
2208,402309.8,45.83588086,-110.9326988,2298.9539,1,9,0.0054,0.0047,0.0099,0.0024,0.0041,0.003,-0.2,48.3
2208,402310,45.83587443,-110.9326945,2298.9474,1,9,0.0054,0.0049,0.0103,0.0023,0.0044,0.0028,0,47.8
2208,402310.2,45.83586794,-110.9326902,2298.9448,1,9,0.0071,0.0064,0.0139,0.0027,0.0062,0.0048,-4.8,47.2
2208,402310.4,45.83586152,-110.9326859,2298.9403,1,9,0.007,0.0063,0.0137,0.0026,0.0061,0.0047,-4.6,46.7
2208,402310.6,45.83585515,-110.9326815,2298.9425,1,9,0.0069,0.0062,0.0134,0.0026,0.006,0.0045,-4.4,46.1
2208,402310.8,45.83584863,-110.9326772,2298.9306,1,9,0.0068,0.0061,0.0132,0.0025,0.0059,0.0044,-4.2,45.5
