%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2185,328290.6,45.83486419,-110.9343185,2317.211,1,6,0.0377,0.0228,0.0675,-0.01,0.0255,-0.0364,-29.4,68.5
2185,328290.8,45.83486412,-110.9343182,2317.2251,1,6,0.0375,0.0226,0.0671,-0.0099,0.0253,-0.0362,-29.2,67.8
2185,328291,45.83486408,-110.9343181,2317.2391,1,6,0.0373,0.0225,0.0666,-0.0099,0.0252,-0.0359,-29,67.1
2185,328291.2,45.83486409,-110.9343181,2317.2482,1,6,0.037,0.0223,0.0662,-0.0098,0.025,-0.0357,-28.8,66.3
2185,328291.4,45.83486411,-110.9343181,2317.2529,1,6,0.0368,0.0222,0.0658,-0.0097,0.0248,-0.0355,-28.6,65.6
2185,328291.6,45.83486408,-110.934318,2317.2665,1,6,0.0366,0.0221,0.0654,-0.0097,0.0247,-0.0353,-28.4,64.9
2185,328291.8,45.83486411,-110.9343179,2317.2736,1,6,0.0364,0.0219,0.065,-0.0096,0.0245,-0.0351,-28.2,64.2
2185,328292,45.83486417,-110.9343178,2317.2728,1,6,0.0361,0.0218,0.0646,-0.0096,0.0244,-0.0348,-28,63.5
2185,328292.2,45.83486427,-110.9343176,2317.2679,1,6,0.0359,0.0216,0.0642,-0.0095,0.0242,-0.0346,-27.8,62.8
2185,328292.4,45.83486428,-110.9343174,2317.2703,1,6,0.0357,0.0215,0.0638,-0.0095,0.0241,-0.0344,-27.6,62.1
2185,328292.6,45.83486423,-110.9343172,2317.2795,1,6,0.0355,0.0214,0.0634,-0.0094,0.0239,-0.0342,-27.4,61.4
2185,328292.8,45.8348641,-110.9343171,2317.286,1,6,0.0352,0.0212,0.063,-0.0093,0.0238,-0.034,-27.2,60.7
2185,328293,45.83486396,-110.9343171,2317.2958,1,6,0.035,0.0211,0.0626,-0.0093,0.0236,-0.0338,-27,60
2185,328293.2,45.83486386,-110.9343173,2317.2998,1,6,0.0348,0.0209,0.0621,-0.0092,0.0234,-0.0335,-26.8,59.4
2185,328293.4,45.83486379,-110.9343175,2317.3032,1,6,0.0346,0.0208,0.0617,-0.0092,0.0233,-0.0333,-26.6,58.7
2185,328293.6,45.83486371,-110.9343178,2317.3055,1,6,0.0343,0.0207,0.0613,-0.0091,0.0231,-0.0331,-26.4,58
2185,328293.8,45.83486367,-110.934318,2317.31,1,6,0.0341,0.0205,0.0609,-0.009,0.023,-0.0329,-26.2,57.4
2185,328294,45.83486366,-110.9343183,2317.3065,1,6,0.0339,0.0204,0.0605,-0.009,0.0228,-0.0327,-26,56.7
2185,328294.2,45.83486359,-110.9343185,2317.3007,1,6,0.0336,0.0202,0.0601,-0.0089,0.0227,-0.0324,-25.8,56.1
2185,328294.4,45.83486352,-110.9343186,2317.2991,1,6,0.0334,0.0201,0.0597,-0.0089,0.0225,-0.0322,-25.6,55.4
2185,328294.6,45.83486351,-110.9343187,2317.2924,1,6,0.0332,0.02,0.0593,-0.0088,0.0223,-0.032,-25.4,54.8
2185,328294.8,45.83486352,-110.9343187,2317.2928,1,6,0.033,0.0198,0.0589,-0.0088,0.0222,-0.0318,-25.2,54.1
2185,328295,45.83486359,-110.9343188,2317.2861,1,6,0.0327,0.0197,0.0584,-0.0087,0.022,-0.0315,-25,53.5
2185,328295.2,45.83486368,-110.9343188,2317.2735,1,6,0.0325,0.0195,0.058,-0.0086,0.0219,-0.0313,-24.8,52.9
2185,328295.4,45.83486374,-110.9343189,2317.2762,1,6,0.0323,0.0194,0.0576,-0.0086,0.0217,-0.0311,-24.6,52.3
2185,328295.6,45.83486379,-110.9343189,2317.2748,1,6,0.032,0.0192,0.0572,-0.0085,0.0216,-0.0309,-24.4,51.7
2185,328295.8,45.83486383,-110.934319,2317.2818,1,6,0.0318,0.0191,0.0568,-0.0085,0.0214,-0.0307,-24.2,51
2185,328296,45.83486387,-110.9343189,2317.2869,1,6,0.0316,0.019,0.0564,-0.0084,0.0212,-0.0304,-24,50.4
2185,328296.2,45.83486391,-110.9343188,2317.2908,1,6,0.0314,0.0188,0.056,-0.0083,0.0211,-0.0302,-23.8,49.8
2185,328296.4,45.83486391,-110.9343185,2317.2938,1,6,0.0311,0.0187,0.0556,-0.0083,0.0209,-0.03,-23.6,49.3
2185,328296.6,45.83486392,-110.9343182,2317.2891,1,6,0.0309,0.0185,0.0551,-0.0082,0.0208,-0.0298,-23.4,48.7
2185,328296.8,45.83486392,-110.934318,2317.2809,1,6,0.0307,0.0184,0.0547,-0.0082,0.0206,-0.0296,-23.2,48.1
2185,328297,45.83486397,-110.934318,2317.2763,1,6,0.0304,0.0183,0.0543,-0.0081,0.0205,-0.0293,-23,47.5
2185,328297.2,45.83486396,-110.9343185,2317.2717,1,6,0.0302,0.0181,0.0539,-0.008,0.0203,-0.0291,-22.8,46.9
2185,328297.4,45.83486369,-110.9343196,2317.2895,1,6,0.03,0.018,0.0535,-0.008,0.0201,-0.0289,-22.6,46.3
2185,328297.6,45.83486297,-110.9343215,2317.3556,1,6,0.0298,0.0178,0.0531,-0.0079,0.02,-0.0287,-22.4,45.8
2185,328297.8,45.83486157,-110.9343244,2317.469,1,6,0.0295,0.0177,0.0527,-0.0079,0.0198,-0.0284,-22.2,45.2
2185,328298,45.83485962,-110.9343283,2317.6453,1,6,0.0293,0.0175,0.0522,-0.0078,0.0197,-0.0282,-22,44.7
2185,328298.2,45.83485704,-110.9343333,2317.882,1,6,0.0291,0.0174,0.0518,-0.0077,0.0195,-0.028,-21.8,44.1
2185,328298.4,45.83485383,-110.9343395,2318.1816,1,6,0.0288,0.0173,0.0514,-0.0077,0.0193,-0.0278,-21.6,43.6
2185,328298.6,45.8348502,-110.9343465,2318.5373,1,6,0.0286,0.0171,0.051,-0.0076,0.0192,-0.0275,-21.4,43
2185,328298.8,45.83484642,-110.9343538,2318.8972,1,6,0.0284,0.017,0.0506,-0.0075,0.019,-0.0273,-21.2,42.5
2185,328299,45.8348426,-110.9343611,2319.2575,1,6,0.0282,0.0168,0.0502,-0.0075,0.0189,-0.0271,-21,41.9
2185,328299.2,45.83483881,-110.9343681,2319.6162,1,6,0.0279,0.0167,0.0497,-0.0074,0.0187,-0.0269,-20.8,41.4
2185,328299.4,45.83483509,-110.9343748,2319.9651,1,6,0.0277,0.0166,0.0493,-0.0074,0.0185,-0.0266,-20.6,40.9
2185,328299.6,45.83483143,-110.9343812,2320.3183,1,6,0.0275,0.0164,0.0489,-0.0073,0.0184,-0.0264,-20.4,40.4
2185,328299.8,45.83482785,-110.9343874,2320.6627,1,6,0.0272,0.0163,0.0485,-0.0072,0.0182,-0.0262,-20.2,39.8
2185,328300,45.83482427,-110.9343935,2321.013,1,6,0.027,0.0161,0.0481,-0.0072,0.0181,-0.026,-20,39.3
2185,328300.2,45.83482081,-110.9343994,2321.354,1,6,0.0268,0.016,0.0477,-0.0071,0.0179,-0.0258,-19.8,38.8
2185,328300.4,45.83481738,-110.9344053,2321.6932,1,6,0.0266,0.0158,0.0472,-0.0071,0.0177,-0.0255,-19.6,38.3
2185,328300.6,45.83481408,-110.9344113,2322.0266,1,6,0.0263,0.0157,0.0468,-0.007,0.0176,-0.0253,-19.4,37.8
2185,328300.8,45.83481097,-110.9344173,2322.349,1,6,0.0261,0.0156,0.0464,-0.0069,0.0174,-0.0251,-19.2,37.3
2185,328301,45.83480783,-110.9344232,2322.6812,1,6,0.0259,0.0154,0.046,-0.0069,0.0172,-0.0249,-19,36.8
2185,328301.2,45.83480472,-110.9344291,2323.0137,1,6,0.0256,0.0153,0.0456,-0.0068,0.0171,-0.0246,-18.8,36.3
2185,328301.4,45.83480157,-110.9344352,2323.3604,1,6,0.0254,0.0151,0.0451,-0.0067,0.0169,-0.0244,-18.6,35.9
2185,328301.6,45.83479837,-110.9344413,2323.6945,1,6,0.0252,0.015,0.0447,-0.0067,0.0168,-0.0242,-18.4,35.4
2185,328301.8,45.83479506,-110.9344477,2324.05,1,6,0.025,0.0148,0.0443,-0.0066,0.0166,-0.024,-18.2,34.9
2185,328302,45.83479159,-110.934454,2324.402,1,6,0.0247,0.0147,0.0439,-0.0066,0.0164,-0.0237,-18,34.4
2185,328302.2,45.83478815,-110.9344603,2324.7498,1,6,0.0245,0.0146,0.0435,-0.0065,0.0163,-0.0235,-17.8,34
2185,328302.4,45.8347847,-110.9344666,2325.1039,1,6,0.0243,0.0144,0.043,-0.0064,0.0161,-0.0233,-17.6,33.5
2185,328302.6,45.83478115,-110.9344729,2325.4506,1,6,0.024,0.0143,0.0426,-0.0064,0.0159,-0.0231,-17.4,33
2185,328302.8,45.83477761,-110.9344792,2325.7996,1,6,0.0238,0.0141,0.0422,-0.0063,0.0158,-0.0228,-17.2,32.6
2185,328303,45.83477412,-110.9344856,2326.1487,1,6,0.0236,0.014,0.0418,-0.0062,0.0156,-0.0226,-17,32.1
2185,328303.2,45.83477089,-110.934492,2326.4846,1,6,0.0234,0.0138,0.0414,-0.0062,0.0155,-0.0224,-16.8,31.7
2185,328303.4,45.83476765,-110.9344983,2326.8299,1,6,0.0231,0.0137,0.0409,-0.0061,0.0153,-0.0221,-16.6,31.2
2185,328303.6,45.8347644,-110.9345046,2327.1765,1,6,0.0229,0.0136,0.0405,-0.0061,0.0151,-0.0219,-16.4,30.8
2185,328303.8,45.83476119,-110.934511,2327.5234,1,6,0.0227,0.0134,0.0401,-0.006,0.015,-0.0217,-16.2,30.4
2185,328304,45.83475798,-110.9345173,2327.8735,1,6,0.0224,0.0133,0.0397,-0.0059,0.0148,-0.0215,-16,29.9
2185,328304.2,45.8347547,-110.9345235,2328.2277,1,6,0.0222,0.0131,0.0393,-0.0059,0.0146,-0.0212,-15.8,29.5
2185,328304.4,45.83475146,-110.9345297,2328.5702,1,6,0.022,0.013,0.0388,-0.0058,0.0145,-0.021,-15.6,29.1
2185,328304.6,45.83474821,-110.9345359,2328.9141,1,6,0.0218,0.0129,0.0384,-0.0057,0.0143,-0.0208,-15.4,28.7
2185,328304.8,45.83474494,-110.934542,2329.2585,1,6,0.0215,0.0127,0.038,-0.0057,0.0142,-0.0206,-15.2,28.3
2185,328305,45.8347417,-110.9345482,2329.606,1,6,0.0213,0.0126,0.0376,-0.0056,0.014,-0.0203,-15,27.8
2185,328305.2,45.83473848,-110.9345543,2329.9524,1,6,0.0211,0.0124,0.0372,-0.0056,0.0138,-0.0201,-14.8,27.4
2185,328305.4,45.83473526,-110.9345605,2330.2953,1,6,0.0208,0.0123,0.0367,-0.0055,0.0137,-0.0199,-14.6,27
2185,328305.6,45.83473205,-110.9345667,2330.6317,1,6,0.0206,0.0121,0.0363,-0.0054,0.0135,-0.0197,-14.4,26.6
2185,328305.8,45.83472876,-110.934573,2330.9737,1,6,0.0204,0.012,0.0359,-0.0054,0.0133,-0.0194,-14.2,26.2
2185,328306,45.83472545,-110.9345792,2331.3146,1,6,0.0202,0.0119,0.0355,-0.0053,0.0132,-0.0192,-14,25.8
2185,328306.2,45.83472212,-110.9345855,2331.649,1,6,0.0199,0.0117,0.0351,-0.0052,0.013,-0.019,-13.8,25.4
2185,328306.4,45.83471874,-110.9345917,2331.9847,1,6,0.0197,0.0116,0.0346,-0.0052,0.0128,-0.0188,-13.6,25
2185,328306.6,45.83471536,-110.934598,2332.3282,1,6,0.0195,0.0114,0.0342,-0.0051,0.0127,-0.0185,-13.4,24.7
2185,328306.8,45.83471201,-110.9346042,2332.6554,1,6,0.0193,0.0113,0.0338,-0.005,0.0125,-0.0183,-13.2,24.3
2185,328307,45.83470855,-110.9346105,2333.0012,1,6,0.019,0.0112,0.0334,-0.005,0.0123,-0.0181,-13,23.9
2185,328307.2,45.83470512,-110.9346168,2333.3479,1,6,0.0188,0.011,0.033,-0.0049,0.0122,-0.0179,-12.8,23.5
2185,328307.4,45.83470163,-110.9346231,2333.6851,1,6,0.0186,0.0109,0.0326,-0.0048,0.012,-0.0176,-12.6,23.2
2185,328307.6,45.83469815,-110.9346293,2334.0258,1,6,0.0184,0.0107,0.0321,-0.0048,0.0118,-0.0174,-12.4,22.8
2185,328307.8,45.83469466,-110.9346355,2334.3662,1,6,0.0181,0.0106,0.0317,-0.0047,0.0117,-0.0172,-12.2,22.4
2185,328308,45.83469118,-110.9346417,2334.7084,1,6,0.0179,0.0105,0.0313,-0.0046,0.0115,-0.017,-12,22.1
2185,328308.2,45.83468774,-110.9346479,2335.0466,1,6,0.0177,0.0103,0.0309,-0.0046,0.0113,-0.0167,-11.8,21.7
2185,328308.4,45.83468425,-110.9346541,2335.3832,1,6,0.0175,0.0102,0.0305,-0.0045,0.0112,-0.0165,-11.6,21.4
2185,328308.6,45.83468078,-110.9346602,2335.737,1,6,0.0173,0.01,0.03,-0.0045,0.011,-0.0163,-11.4,21
2185,328308.8,45.83467733,-110.9346664,2336.0679,1,6,0.017,0.0099,0.0296,-0.0044,0.0109,-0.0161,-11.2,20.7
2185,328309,45.83467396,-110.9346727,2336.4084,1,6,0.0168,0.0098,0.0292,-0.0043,0.0107,-0.0158,-11,20.3
2185,328309.2,45.83467067,-110.934679,2336.7496,1,6,0.0166,0.0096,0.0288,-0.0043,0.0105,-0.0156,-10.8,20
2185,328309.4,45.83466734,-110.9346854,2337.0913,1,6,0.0164,0.0095,0.0284,-0.0042,0.0104,-0.0154,-10.6,19.6
2185,328309.6,45.83466396,-110.9346917,2337.43,1,6,0.0162,0.0093,0.028,-0.0041,0.0102,-0.0152,-10.4,19.3
2185,328309.8,45.8346606,-110.9346979,2337.7805,1,6,0.0159,0.0092,0.0276,-0.0041,0.01,-0.0149,-10.2,19
2185,328310,45.83465727,-110.9347042,2338.1203,1,6,0.0157,0.0091,0.0272,-0.004,0.0099,-0.0147,-10,18.6
2185,328310.2,45.83465399,-110.9347105,2338.4559,1,6,0.0155,0.0089,0.0267,-0.0039,0.0097,-0.0145,-9.8,18.3
2185,328310.4,45.83465059,-110.9347167,2338.7999,1,6,0.0153,0.0088,0.0263,-0.0039,0.0095,-0.0143,-9.6,18
2185,328310.6,45.83464731,-110.9347229,2339.1325,1,6,0.0151,0.0087,0.0259,-0.0038,0.0094,-0.014,-9.4,17.7
2185,328310.8,45.83464399,-110.9347292,2339.4669,1,6,0.0149,0.0085,0.0255,-0.0037,0.0092,-0.0138,-9.2,17.4
2185,328311,45.83464072,-110.9347356,2339.7985,1,6,0.0146,0.0084,0.0251,-0.0037,0.009,-0.0136,-9,17.1
2185,328311.2,45.83463734,-110.9347418,2340.1386,1,6,0.0144,0.0083,0.0247,-0.0036,0.0089,-0.0134,-8.8,16.7
2185,328311.4,45.83463399,-110.9347481,2340.4771,1,6,0.0142,0.0081,0.0243,-0.0035,0.0087,-0.0132,-8.6,16.4
2185,328311.6,45.83463063,-110.9347544,2340.8113,1,6,0.014,0.008,0.0239,-0.0035,0.0085,-0.013,-8.4,16.1
2185,328311.8,45.83462715,-110.9347605,2341.153,1,6,0.0138,0.0079,0.0235,-0.0034,0.0084,-0.0127,-8.2,15.8
2185,328312,45.8346237,-110.9347667,2341.5056,1,6,0.0136,0.0077,0.0231,-0.0033,0.0082,-0.0125,-8,15.5
2185,328312.2,45.83462026,-110.9347729,2341.8457,1,6,0.0134,0.0076,0.0227,-0.0033,0.008,-0.0123,-7.8,15.2
2185,328312.4,45.83461683,-110.934779,2342.1963,1,6,0.0132,0.0075,0.0223,-0.0032,0.0079,-0.0121,-7.6,15
2185,328312.6,45.83461333,-110.9347852,2342.5418,1,6,0.013,0.0073,0.0219,-0.0031,0.0077,-0.0119,-7.4,14.7
2185,328312.8,45.83460993,-110.9347914,2342.8764,1,6,0.0128,0.0072,0.0215,-0.0031,0.0076,-0.0117,-7.2,14.4
2185,328313,45.83460655,-110.9347976,2343.2194,1,6,0.0126,0.0071,0.0212,-0.003,0.0074,-0.0115,-7,14.1
2185,328313.2,45.83460314,-110.9348038,2343.5574,1,6,0.0124,0.007,0.0208,-0.0029,0.0072,-0.0112,-6.8,13.8
2185,328313.4,45.83459967,-110.9348101,2343.9037,1,6,0.0122,0.0068,0.0204,-0.0029,0.0071,-0.011,-6.6,13.5
2185,328313.6,45.83459626,-110.9348162,2344.2428,1,6,0.012,0.0067,0.02,-0.0028,0.0069,-0.0108,-6.4,13.3
2185,328313.8,45.83459295,-110.9348224,2344.5807,1,6,0.0118,0.0066,0.0196,-0.0027,0.0068,-0.0106,-6.2,13
2185,328314,45.83458958,-110.9348285,2344.9086,1,6,0.0116,0.0065,0.0193,-0.0026,0.0066,-0.0104,-6,12.7
2185,328314.2,45.83458615,-110.9348347,2345.2477,1,6,0.0114,0.0064,0.0189,-0.0026,0.0064,-0.0102,-5.8,12.5
2185,328314.4,45.83458272,-110.9348408,2345.6065,1,6,0.0112,0.0062,0.0186,-0.0025,0.0063,-0.01,-5.6,12.2
2185,328314.6,45.83457926,-110.9348469,2345.9405,1,6,0.0111,0.0061,0.0182,-0.0024,0.0061,-0.0098,-5.4,11.9
2185,328314.8,45.83457588,-110.9348531,2346.2734,1,6,0.0109,0.006,0.0178,-0.0024,0.006,-0.0096,-5.2,11.7
2185,328315,45.83457245,-110.9348593,2346.6153,1,6,0.0107,0.0059,0.0175,-0.0023,0.0058,-0.0095,-5,11.4
2185,328315.2,45.83456907,-110.9348655,2346.9533,1,6,0.0105,0.0058,0.0172,-0.0022,0.0057,-0.0093,-4.8,11.2
2185,328315.4,45.8345657,-110.9348719,2347.2932,1,6,0.0104,0.0057,0.0168,-0.0022,0.0055,-0.0091,-4.6,10.9
2185,328315.6,45.8345623,-110.9348782,2347.6248,1,6,0.0102,0.0056,0.0165,-0.0021,0.0054,-0.0089,-4.4,10.7
2185,328315.8,45.83455896,-110.9348846,2347.9674,1,6,0.01,0.0055,0.0162,-0.002,0.0052,-0.0087,-4.2,10.4
2185,328316,45.83455549,-110.934891,2348.3245,1,6,0.0099,0.0054,0.0159,-0.002,0.0051,-0.0085,-4,10.2
2185,328316.2,45.83455208,-110.9348973,2348.6717,1,6,0.0097,0.0053,0.0156,-0.0019,0.005,-0.0084,-3.8,9.9
2185,328316.4,45.83454871,-110.9349036,2349.0088,1,6,0.0096,0.0052,0.0153,-0.0018,0.0048,-0.0082,-3.6,9.7
2185,328316.6,45.83454526,-110.93491,2349.3644,1,6,0.0094,0.0051,0.015,-0.0018,0.0047,-0.0081,-3.4,9.5
2185,328316.8,45.83454181,-110.9349162,2349.7105,1,6,0.0093,0.005,0.0147,-0.0017,0.0046,-0.0079,-3.2,9.2
2185,328317,45.83453838,-110.9349225,2350.0522,1,6,0.0091,0.0049,0.0145,-0.0017,0.0044,-0.0078,-3,9
2185,328317.2,45.83453491,-110.9349288,2350.3876,1,6,0.009,0.0048,0.0142,-0.0016,0.0043,-0.0076,-2.8,8.8
2185,328317.4,45.83453149,-110.9349351,2350.7311,1,6,0.0089,0.0048,0.014,-0.0015,0.0042,-0.0075,-2.6,8.5
2185,328317.6,45.8345281,-110.9349414,2351.0642,1,6,0.0088,0.0047,0.0138,-0.0015,0.0041,-0.0074,-2.4,8.3
2185,328317.8,45.83452465,-110.9349477,2351.4029,1,6,0.0087,0.0046,0.0136,-0.0014,0.004,-0.0072,-2.2,8.1
2185,328318,45.83452118,-110.934954,2351.7537,1,6,0.0086,0.0046,0.0134,-0.0014,0.0039,-0.0071,-2,7.9
