%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2194,151171.4,45.83487458,-110.9343386,2316.464,1,5,0.0295,0.0316,0.0643,-0.0179,0.0201,-0.024,-28.6,999.9
2194,151171.6,45.83487492,-110.9343386,2316.4795,1,5,0.0293,0.0314,0.0639,-0.0178,0.0199,-0.0238,-28.4,999.9
2194,151171.8,45.83487523,-110.9343385,2316.4897,1,5,0.0291,0.0312,0.0635,-0.0177,0.0198,-0.0237,-28.2,999.9
2194,151172,45.83487546,-110.9343383,2316.4939,1,5,0.0289,0.031,0.0631,-0.0175,0.0197,-0.0235,-28,999.9
2194,151172.2,45.83487561,-110.9343379,2316.4884,1,5,0.0288,0.0308,0.0627,-0.0174,0.0196,-0.0234,-27.8,999.9
2194,151172.4,45.83487571,-110.9343375,2316.4735,1,5,0.0286,0.0306,0.0623,-0.0173,0.0194,-0.0232,-27.6,999.9
2194,151172.6,45.83487582,-110.934337,2316.4655,1,5,0.0284,0.0304,0.0619,-0.0172,0.0193,-0.0231,-27.4,999.9
2194,151172.8,45.83487592,-110.9343366,2316.4593,1,5,0.0282,0.0302,0.0615,-0.0171,0.0192,-0.0229,-27.2,999.9
2194,151173,45.83487598,-110.9343363,2316.4573,1,5,0.028,0.03,0.061,-0.017,0.0191,-0.0228,-27,999.9
2194,151173.2,45.834876,-110.9343361,2316.4539,1,5,0.0278,0.0298,0.0606,-0.0169,0.0189,-0.0226,-26.8,999.9
2194,151173.4,45.83487605,-110.9343359,2316.45,1,5,0.0276,0.0296,0.0602,-0.0168,0.0188,-0.0225,-26.6,999.9
2194,151173.6,45.83487604,-110.9343358,2316.4494,1,5,0.0275,0.0294,0.0598,-0.0166,0.0187,-0.0223,-26.4,999.9
2194,151173.8,45.83487597,-110.9343356,2316.4513,1,5,0.0273,0.0292,0.0594,-0.0165,0.0186,-0.0222,-26.2,999.9
2194,151174,45.83487587,-110.9343355,2316.4586,1,5,0.0271,0.029,0.059,-0.0164,0.0184,-0.022,-26,999.9
2194,151174.2,45.83487577,-110.9343353,2316.47,1,5,0.0269,0.0288,0.0586,-0.0163,0.0183,-0.0219,-25.8,999.9
2194,151174.4,45.83487566,-110.9343353,2316.4691,1,5,0.0267,0.0286,0.0582,-0.0162,0.0182,-0.0217,-25.6,999.9
2194,151174.6,45.83487553,-110.9343353,2316.4768,1,5,0.0265,0.0284,0.0578,-0.0161,0.0181,-0.0216,-25.4,999.9
2194,151174.8,45.8348754,-110.9343353,2316.4748,1,5,0.0263,0.0282,0.0574,-0.016,0.0179,-0.0214,-25.2,999.9
